subhalo_id,grnr,halo_r200_kpc,mass_gas_1e10msun_h,mass_stars_1e10msun_h,pos_x_ckpc_h,pos_y_ckpc_h,pos_z_ckpc_h,halfmassrad_gas_ckpc_h,bcg_pos_x,bcg_pos_y,bcg_pos_z,cutout_url,sfr
856,0,2198.3,0.011988,0.038561,175020.0,267896.0,450116.0,1.556,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/856/cutout.hdf5,0.0
876,0,2198.3,0.054704,0.35632,177142.0,267396.0,450269.0,6.61,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/876/cutout.hdf5,0.0066
912,0,2198.3,0.126153,0.018589,176401.0,262810.0,453113.0,3.76,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/912/cutout.hdf5,0.1064
941,0,2198.3,0.125621,0.049836,176151.0,264219.0,454339.0,5.154,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/941/cutout.hdf5,0.0503
966,0,2198.3,0.024409,0.155221,173111.0,258096.0,454592.0,18.567,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/966/cutout.hdf5,0.0
971,0,2198.3,0.270551,0.131287,176921.0,268109.0,450436.0,5.339,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/971/cutout.hdf5,0.1781
1014,0,2198.3,0.136583,0.053354,172521.0,258539.0,454349.0,10.421,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/1014/cutout.hdf5,0.0039
1045,0,2198.3,0.073799,0.006067,173438.0,259596.0,453830.0,4.833,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/1045/cutout.hdf5,0.0
1047,0,2198.3,0.216416,0.0235,173853.0,259696.0,454097.0,6.181,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/1047/cutout.hdf5,0.0428
1064,0,2198.3,0.083823,0.000488,174576.0,258150.0,454716.0,5.134,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/1064/cutout.hdf5,0.0067
